year	in_strength	out_strength	total_strength	eigenvector	in_closeness	out_closeness	clustering coefficient	betweenness	pagerank	hubs	authorities
1995	0.129215431049734	0.37459628713363136	0.261988302261296	0.11697147919905482	1.0	0.42262676523818477	0.34624013854203295	0.12827853873557593	0.311049925595987	0.39012711039031345	0.18723119510433606
1996	0.20782078702683282	0.3542711744366346	0.29239806402681245	0.063890175245505	1.0	0.48327170626989757	0.5221969251163752	0.18547743688872997	0.34903487076548045	0.592527586155513	0.30859167495547857
1997	0.2936464236370252	0.4354537078037565	0.33360922762717193	0.15329808619949714	1.0	0.34625916746054086	0.6306845001166788	0.18507528090969683	0.3905731667380469	0.37304007284682095	0.2867861529743546
1998	0.1658078810138729	0.3414348576722229	0.2719736020339846	0.05196397367344219	1.0	0.505976663815505	0.5562010060717701	0.22586776319463275	0.2601160704066735	0.5227764999493012	0.34416196846495073
1999	0.24763383188109112	0.4681541112382521	0.36790348621083957	0.2984877850008605	1.0	0.41471326821972443	0.6360804438893785	0.132096718271287	0.28324147085600193	0.7592709701585876	0.7109991481290519
2000	0.34935719226234374	0.5007161960965543	0.46552157956136675	0.17825995808747586	1.0	0.5867876568627568	0.6416475459939481	0.07713393618435938	0.3197865681374894	0.5173961886956763	0.707964306166065
2001	0.2667926946763718	0.35469097639005376	0.3297071097606501	0.13732925512450167	1.0	0.5628496900742839	0.6044218323577717	0.07077231894171321	0.3629032792728639	0.6907835341276536	0.4579142780272125
2002	0.17243348357333854	0.39509455940644167	0.3128880547666839	0.04226632953381315	1.0	0.49113210638543536	0.5903205405685013	0.048602493739330455	0.20807394972129012	0.29263677814477385	0.24918603584767796
2003	0.23471208721833448	0.4783650063276086	0.3647245124976016	0.14928516586135498	1.0	0.46940266192351365	0.5055433068975266	0.08372261767753186	0.3149161140629809	0.39111533146139965	0.4606810035142449
2004	0.4859767406156663	0.5405683963533434	0.5016048254154495	0.16742839189341818	1.0	0.571405809836728	0.6198972733168623	0.2110707462839717	0.5497945360058032	0.4645389804783877	0.6951288095680335
2005	0.4610845288300979	0.4635275303407044	0.4860223273810138	0.1872479074201171	1.0	0.4665426064489915	0.5401289858644369	0.04604306449623119	0.558238488565614	0.4903078635495678	0.681365157628381
2006	0.4121822536772962	0.48785960534578154	0.45538820456582807	0.22183533341498785	1.0	1.0	0.6108299358096043	0.15743102813575116	0.4280032049836958	0.3555651156052283	0.709573863460609
2007	0.4205715434789735	0.5520334562875303	0.5126220844092517	0.16730669099601636	1.0	0.5947174073729155	0.6572256576173106	0.18004115955009692	0.3884451949075506	0.6884121601295112	0.7395887361291573
2008	0.35748411313097084	0.3919590778426496	0.3988740659686686	0.15511908431892218	1.0	0.5666634520308012	0.5201577581750682	0.08195483175509932	0.17416019361677504	0.6468655455054393	0.7186001709583659
2009	0.15236021409621625	0.3744140269221121	0.2729341255889012	0.18479209771586846	1.0	0.5226550708028903	0.6142740988674571	0.09754252612765124	0.3018454429449172	0.21780610955442126	0.3483190161884534
2010	0.3389708192568718	0.4430623366329137	0.3976500187406351	0.1400738695137299	1.0	0.47611783350547265	0.5844825618743701	0.1553084882743041	0.3183140167751476	0.5501031514498518	0.4339557110329968
2011	0.28258461829102877	0.5022422422761903	0.40492644873056116	0.17776941639190935	1.0	0.6057261161735311	0.5961055672478219	0.10346206092541643	0.23191490592317332	0.6175351337426642	0.5517757072479383
2012	0.28632768416774224	0.407946835505989	0.3554382459239651	0.15450049705118418	1.0	0.5709060387319582	0.5749188540063792	0.1496798091302014	0.31593056399670594	0.5318183149616792	0.46544130508799475
2013	0.27022515206996434	0.5555152361031785	0.42766290621933645	0.14447986074297348	1.0	0.6362548482335683	0.6905320102668668	0.07236709514497852	0.2291134308498196	0.7359213271697547	0.6787154775946298
2014	0.3602040713254975	0.3767191826145243	0.3659790516407616	0.1400291502545783	1.0	1.0	0.5495148950236164	0.07199077226308681	0.297079863946063	0.45110969165114867	0.5517646180697418
2015	0.2905105092555528	0.21483102821706968	0.25617421429619447	0.2954101998752262	1.0	0.5038339894810677	0.3723658369057996	0.359325908560018	0.325270421418248	0.42261828653567557	0.3627621794642666
2016	0.43349809447933896	0.2530271604923293	0.36872807553966935	0.1666391705824134	1.0	0.5288661482221144	0.43669376970389195	0.12006408738958108	0.3519914128534437	0.634370231640808	0.4838153992421951
2017	0.5062888446627465	0.5975415380631708	0.5556035459567312	0.3545070980676003	1.0	0.6090141278839261	0.6002825190189344	0.07199641512560195	0.2240553781871346	0.5854670565220707	0.6745300001237746
2018	0.39739182850670995	0.3319616377844574	0.3608882571012234	0.04082814044522487	1.0	0.5078065224039598	0.5299070357716684	0.11234111245066392	0.3097906678549277	0.4938596643841292	0.4729793430757142
2019	0.321404226211215	0.20172202372234516	0.23626454106135442	0.11914861250986108	1.0	0.5466252845266157	0.3882750483267624	0.1153124764928779	0.2777198440717572	0.4755213487865416	0.3503445706892149
2020	0.4143455723091205	0.3116481622760501	0.35631175625694134	0.06015493096241564	1.0	1.0	0.5372651926428852	0.13531829090720027	0.29305021321676983	0.2752196826170701	0.5400473251694546
2021	0.3359990226968623	0.2623157103478666	0.30556121061362285	0.14884524991739312	1.0	0.5536297682968694	0.4705181331838473	0.13188499233046114	0.37491901787242043	0.14090723680481942	0.5173298581370749
2022	0.36083139930114894	0.330447555010158	0.3539210531696483	0.1787057933325643	1.0	0.6310847146417643	0.5186039076104891	0.09205488588952193	0.2916825666171091	0.2517979509343292	0.7032938750534685
