year	n_clusters	fuzziness	partition_coefficient	silhouette_score
1995	2	1.3	0.4980544095936062	0.8859386058505749
1995	3	1.3	0.3291178893397592	0.8194955482286794
1995	4	1.3	0.24320451963080403	0.6913558397522637
1995	5	1.3	0.1945014795042819	0.6916411363057403
1995	6	1.3	0.1586640006930445	0.6326657968364843
1995	7	1.3	0.13801437676005648	0.6533964926474071
1995	8	1.3	0.11908513750284978	0.562664335407359
1995	9	1.3	0.10567918736072968	0.5586639594990787
1995	2	1.4	0.49680814513683935	0.8859386058505749
1995	3	1.4	0.32761263759838644	0.8194955482286794
1995	4	1.4	0.24022402710333216	0.6913558397522637
1995	5	1.4	0.1857640430529225	0.6259654182650385
1995	6	1.4	0.15458719029146106	0.6284672277656492
1995	7	1.4	0.1350659386069623	0.6522717883335487
1995	8	1.4	0.1156552401087593	0.562664335407359
1995	9	1.4	0.10505778985674129	0.6493673276392645
1995	2	1.5	0.4954387882924761	0.8859386058505749
1995	3	1.5	0.3257819977223383	0.8194955482286794
1995	4	1.5	0.23694795419990738	0.6913558397522637
1995	5	1.5	0.18121187733850355	0.6208470993298393
1995	6	1.5	0.1505445965212891	0.6107782798882185
1995	7	1.5	0.13183551563242948	0.6513224898447344
1995	8	1.5	0.11074276014130745	0.5250345578236978
1995	9	1.5	0.09789599798665521	0.5199851074832643
1995	2	1.6	0.4939441146993133	0.8859386058505749
1995	3	1.6	0.32351925066425785	0.8194955482286794
1995	4	1.6	0.2334154586994659	0.6942303462966078
1995	5	1.6	0.18694191107809358	0.6916411363057403
1995	6	1.6	0.14700878801397396	0.6106998003129506
1995	7	1.6	0.12825028718198392	0.6513224898447344
1995	8	1.6	0.1063025085671269	0.5115120952542562
1995	9	1.6	0.0999425770952496	0.6531911448961778
1995	2	1.7	0.49229567104865457	0.8859386058505749
1995	3	1.7	0.32072018670536157	0.8118021320114557
1995	4	1.7	0.22963724644691177	0.6942303462966078
1995	5	1.7	0.17241890066727775	0.6173788052094149
1995	6	1.7	0.1433253814278368	0.6038355892588303
1995	7	1.7	0.12430823683463965	0.6482398023195014
1995	8	1.7	0.10844784164413596	0.6436916799476204
1995	9	1.7	0.09467815866030468	0.624303470400862
1995	2	2.0	0.4858836803810363	0.8859386058505749
1995	3	2.0	0.29976019111662056	0.7393454285384069
1995	4	2.0	0.21682130513212938	0.6901403955268633
1995	5	2.0	0.17308142506682853	0.6854985900700976
1995	6	2.0	0.1312324232394836	0.5860832687557367
1995	7	2.0	0.11073118042383233	0.6158426440009463
1995	8	2.0	0.08870961224450649	0.490040947222872
1995	9	2.0	0.07858227792346502	0.48514164050597275
1995	2	2.1	0.4831008521568761	0.8859386058505749
1995	3	2.1	0.29451426533343555	0.7286944664018102
1995	4	2.1	0.21210805466389226	0.6901403955268633
1995	5	2.1	0.16890029303358728	0.6854985900700976
1995	6	2.1	0.12688136665618	0.5821666680389963
1995	7	2.1	0.1050550924532537	0.5689709606721892
1995	8	2.1	0.0859172412468855	0.5449789279871426
1995	9	2.1	0.07479018085808242	0.47913851986350386
1995	2	2.5	0.4685635836632171	0.8859386058505749
1995	3	2.5	0.27245600957717037	0.7209802859380267
1995	4	2.5	0.19188316613338766	0.6852954660040597
1995	5	2.5	0.13413445333497065	0.5817996529198117
1995	6	2.5	0.10881327177215251	0.5548445107355213
1995	7	2.5	0.08685025714151384	0.5396450748680326
1995	8	2.5	0.06960147562267363	0.4523410706684467
1995	9	2.5	0.059913500923592225	0.4332773550628811
1995	2	2.6	0.46421470005197835	0.8859386058505749
1995	3	2.6	0.2667507145132156	0.7170012217786124
1995	4	2.6	0.18668802382839755	0.6716257855636876
1995	5	2.6	0.12930483588149763	0.5753216888228515
1995	6	2.6	0.09768511382570146	0.534914131563649
1995	7	2.6	0.08309710436340255	0.5288700661252991
1995	8	2.6	0.06687876523566917	0.47216755174256286
1995	9	2.6	0.058967674111433534	0.4588972878243406
1995	2	2.7	0.45966050446017137	0.8859386058505749
1995	3	2.7	0.2610390291505273	0.713141384969603
1995	4	2.7	0.18152563496449564	0.6690497099704846
1995	5	2.7	0.12454435300259295	0.5753216888228515
1995	6	2.7	0.0937843887251885	0.534914131563649
1995	7	2.7	0.0795946139229948	0.523775580190467
1995	8	2.7	0.06335435971207412	0.430653150367128
1995	9	2.7	0.05436991930914279	0.43159096774395045
1996	2	1.3	0.4984234996230483	0.8857037799009743
1996	3	1.3	0.3294876446017734	0.7881206732095162
1996	4	1.3	0.24356977016287293	0.7128766975171087
1996	5	1.3	0.19223641389496945	0.631544296605735
1996	6	1.3	0.16155324962871084	0.6212263858649137
1996	7	1.3	0.13726315665601604	0.6287254040146151
1996	8	1.3	0.12125873555132301	0.620424499041891
1996	9	1.3	0.10677723725245375	0.5803093465221978
1996	2	1.4	0.4969065444490018	0.8857037799009743
1996	3	1.4	0.3271119218032817	0.7881206732095162
1996	4	1.4	0.24109811805586245	0.7128766975171087
1996	5	1.4	0.18852696893629325	0.631544296605735
1996	6	1.4	0.15869280830696358	0.6212263858649137
1996	7	1.4	0.13490890552424165	0.6338923340658497
1996	8	1.4	0.11927391955459689	0.6275685435222509
1996	9	1.4	0.10607939030250928	0.6250592716062428
1996	2	1.5	0.4952643787990815	0.8857037799009743
1996	3	1.5	0.3244603365080804	0.7881206732095162
1996	4	1.5	0.23835559028626263	0.7096130226541714
1996	5	1.5	0.1845441101420052	0.6275501764085125
1996	6	1.5	0.15517065357552665	0.6212263858649137
1996	7	1.5	0.13234344915731383	0.6110545993833318
1996	8	1.5	0.11639112878978497	0.6185032045075484
1996	9	1.5	0.09644225742114391	0.46290559021267114
1996	2	1.6	0.4936054325308651	0.8857037799009743
1996	3	1.6	0.32145625004574974	0.7881206732095162
1996	4	1.6	0.23528298096278444	0.7096130226541714
1996	5	1.6	0.1802834149583389	0.6275501764085125
1996	6	1.6	0.15104002936949298	0.6189155149742316
1996	7	1.6	0.12963629890777514	0.6210497212903919
1996	8	1.6	0.11233016247689553	0.6180176225185279
1996	9	1.6	0.09641221602406608	0.5559658407535195
1996	2	1.7	0.491899800713841	0.8857037799009743
1996	3	1.7	0.317870360445092	0.7881206732095162
1996	4	1.7	0.23186066977061506	0.7096130226541714
1996	5	1.7	0.17567654572836822	0.626422825776186
1996	6	1.7	0.14643335762205734	0.616602193882766
1996	7	1.7	0.1258139931831709	0.6164255293082441
1996	8	1.7	0.10531147315229145	0.5583239164221689
1996	9	1.7	0.09809351741888057	0.622126650282873
1996	2	2.0	0.4856207203437914	0.8857037799009743
1996	3	2.0	0.3037178764693974	0.7824418373380999
1996	4	2.0	0.2194202672998725	0.7011334450701835
1996	5	2.0	0.15966033520777578	0.6039868976824209
1996	6	2.0	0.13108766982019754	0.6063918914896664
1996	7	2.0	0.1128257759611598	0.6061457471462562
1996	8	2.0	0.0982502409878912	0.5933645951289152
1996	9	2.0	0.08583991975639167	0.5910941520979337
1996	2	2.1	0.48291474729526973	0.8857037799009743
1996	3	2.1	0.2985403229320973	0.7824418373380999
1996	4	2.1	0.21459906083335306	0.6994835648046998
1996	5	2.1	0.1545990421042705	0.6014528125392803
1996	6	2.1	0.12582352616379044	0.6033826955512617
1996	7	2.1	0.1082836646630599	0.6031365512078514
1996	8	2.1	0.0941764228032827	0.5933645951289152
1996	9	2.1	0.07372416563846168	0.45034693477689647
1996	2	2.5	0.4686839576689992	0.8857037799009743
1996	3	2.5	0.2766748412887201	0.7491767819236003
1996	4	2.5	0.19338913815307973	0.697168913273414
1996	5	2.5	0.13482224024570982	0.592482399620775
1996	6	2.5	0.10591908086722192	0.6033826955512617
1996	7	2.5	0.09072350878654663	0.6031365512078514
1996	8	2.5	0.07845509675604631	0.5928370670493773
1996	9	2.5	0.06020651598739763	0.4430879039640605
1996	2	2.6	0.46440268264090057	0.8857037799009743
1996	3	2.6	0.27103334001347845	0.7441171698396534
1996	4	2.6	0.18798452462546375	0.697168913273414
1996	5	2.6	0.13012399068302494	0.592482399620775
1996	6	2.6	0.1014013736282614	0.6033826955512617
1996	7	2.6	0.08667249458307816	0.6031365512078514
1996	8	2.6	0.06993962720976953	0.5699117892090275
1996	9	2.6	0.0579552788355078	0.44701040778508433
1996	2	2.7	0.4599105200438045	0.8857037799009743
1996	3	2.7	0.2653895232948964	0.7393995281993154
1996	4	2.7	0.18264061804670279	0.6893432752144254
1996	5	2.7	0.1255733225709896	0.5821945949473891
1996	6	2.7	0.10356039271268556	0.5692616347209377
1996	7	2.7	0.08279219021402244	0.5974106406194195
1996	8	2.7	0.06286710374006162	0.4478354013959039
1996	9	2.7	0.05427115762041137	0.43768360524010985
1997	2	1.3	0.49608641079022026	0.8833650645491756
1997	3	1.3	0.3276680688905629	0.7836821670154881
1997	4	1.3	0.2431381346621993	0.7063545960188982
1997	5	1.3	0.19452079777285639	0.7069403761274716
1997	6	1.3	0.1605333238595798	0.6730198671187795
1997	7	1.3	0.1381642758590228	0.6648203497208184
1997	8	1.3	0.12002445600961953	0.6590719442502073
1997	9	1.3	0.10410034447973605	0.5133784933855151
1997	2	1.4	0.49481620141987426	0.8833650645491756
1997	3	1.4	0.32550899052577936	0.7836821670154881
1997	4	1.4	0.2402317063496477	0.7046187946550747
1997	5	1.4	0.18925191645477582	0.6698699497615225
1997	6	1.4	0.15784129184866186	0.6709503033317383
1997	7	1.4	0.13549510933024939	0.658912662832666
1997	8	1.4	0.11814347806506004	0.6635218979456542
1997	9	1.4	0.10429375482358937	0.6464719268716301
1997	2	1.5	0.49383327642642905	0.8833650645491756
1997	3	1.5	0.32281350361454825	0.7836821670154881
1997	4	1.5	0.23719712301646576	0.7063144546001826
1997	5	1.5	0.18588602149779063	0.6698699497615225
1997	6	1.5	0.1550351480422082	0.6709503033317383
1997	7	1.5	0.13232155636121049	0.6534728564577049
1997	8	1.5	0.11060115267406864	0.5284440928267403
1997	9	1.5	0.09818972811084396	0.5263471010403823
1997	2	1.6	0.492767223521501	0.8833650645491756
1997	3	1.6	0.319587310967137	0.7754730672786789
1997	4	1.6	0.23398903482978115	0.7063144546001826
1997	5	1.6	0.18241310621122683	0.6698699497615225
1997	6	1.6	0.14976813251652824	0.6444738708722453
1997	7	1.6	0.12814765077659473	0.6398452890914598
1997	8	1.6	0.11098756035414432	0.6369381660429198
1997	9	1.6	0.0990493471909054	0.6405874113724306
1997	2	1.7	0.49146644731581446	0.8833650645491756
1997	3	1.7	0.31590353046414865	0.7697325404689367
1997	4	1.7	0.23055931817308659	0.7063144546001826
1997	5	1.7	0.17876399636849857	0.6698699497615225
1997	6	1.7	0.14466818854677882	0.6292814039192393
1997	7	1.7	0.1233008364546697	0.6311909605017569
1997	8	1.7	0.10772928034208826	0.6378210961298888
1997	9	1.7	0.09570586325430494	0.6341722081019211
1997	2	2.0	0.48561570796779396	0.8833650645491756
1997	3	2.0	0.3031591052415009	0.7641694030298534
1997	4	2.0	0.218672768331646	0.7036050460010039
1997	5	2.0	0.16639476409682544	0.6698699497615225
1997	6	2.0	0.13731003517825136	0.6558100489524005
1997	7	2.0	0.10900001074747843	0.5633364450147944
1997	8	2.0	0.09303272852391554	0.5414514307617423
1997	9	2.0	0.07931714320367106	0.4953413070359271
1997	2	2.1	0.48293399168526524	0.8833650645491756
1997	3	2.1	0.29852049004013576	0.7641694030298534
1997	4	2.1	0.21418444896260577	0.7036050460010039
1997	5	2.1	0.16178861559767194	0.6698699497615225
1997	6	2.1	0.12266523078512283	0.5656985970506133
1997	7	2.1	0.10464506887507201	0.5633364450147944
