year	in_strength	out_strength	total_strength	eigenvector	in_closeness	out_closeness	clustering coefficient	betweenness	pagerank	hubs	authorities
1995	0.12661863076695234	0.32937834294800805	0.19135729205012864	0.038188652507852194	0.22692043507599846	0.42362757783130933	0.28794562067891016	0.15447491880118014	0.1514926877900592	0.3353267604609098	0.062053087620325464
1996	0.07909972731226445	0.28431201642466075	0.1649086084166319	0.034776021352814546	0.22895032447823782	0.539392157514201	0.31377955724273965	0.16894161046580658	0.18027568658964954	0.3010352175311988	0.04822566230895986
1997	0.07427075205955591	0.2997964075303754	0.1676597018869046	0.029279307509853636	0.2830566091840958	0.513206850772024	0.27898813653797794	0.2568230017881751	0.1738754381130323	0.29176448967794666	0.038251331296278335
1998	0.07298871541874219	0.30563255370863684	0.17604816120676214	0.0301315224626022	0.24231615380807692	0.448673933518803	0.3176466059293489	0.26358375564218495	0.15574963279470877	0.3180481411814833	0.044483165159181715
1999	0.050636986743588075	0.29127885626741334	0.14840828935172434	0.02163243642217061	0.2081896134258211	0.491728207129455	0.25573773847402415	0.20939574457496724	0.16809043829710124	0.29918959090373165	0.041558658128934334
2000	0.05386091858415276	0.3215653794352349	0.15891731795198683	0.02354788036713673	0.2284186339608244	0.541491534931141	0.21881345056556067	0.09314037418111454	0.232951604862089	0.3440626425993514	0.043309563571293674
2001	0.05197717442679828	0.3041436405756003	0.14663795813918246	0.033115181393916227	0.37311221494963587	0.46921101479121463	0.24481609031559126	0.11153833881591069	0.1874121213980866	0.33677417808084387	0.0603702314221265
2002	0.07214861946987339	0.3125122780354239	0.16249490482886775	0.03615394563474661	0.23200373418145515	0.5359525808459307	0.1688894378029019	0.11252330563241497	0.2699608459882712	0.36314157739809083	0.07434025262687571
2003	0.06745999210856957	0.3413039539826629	0.16962269430066712	0.04906639548771641	0.28754349293038206	0.5125336192583572	0.18130737022958898	0.06556101790222246	0.20058063636381562	0.4033603471292232	0.07615443664241794
2004	0.08975373516199447	0.3260797721614537	0.18401988734102503	0.04602070795096469	1.0	0.4907730589855265	0.2634116199923131	0.07460240434488652	0.22584704618020612	0.3516572366338888	0.05740614421512302
2005	0.09476540303227543	0.3111849679612685	0.18807585900496215	0.039595630961067996	0.23114343931484616	0.4475495334027444	0.1973725286877417	0.08625499249061042	0.2579594150442548	0.3443650769579947	0.04194271368117408
2006	0.0967493296735914	0.3109669539149347	0.18962767774145717	0.0474159184316163	0.31079904645986633	0.5014298589968087	0.16166805626599956	0.08770510757777505	0.20746549967346262	0.3262953041675123	0.039409401721730686
2007	0.09617058129112976	0.3072377097629707	0.18393005981621358	0.05043055192239121	0.20578403371885112	0.46177984868354616	0.17950956303862642	0.09405316682472908	0.19244285970000918	0.3356693282056987	0.0866500130625596
2008	0.14484030047515373	0.3585327093082582	0.23320703727328873	0.07873806966298036	0.37599457274214954	0.5194670831743489	0.18114423222822784	0.10140953661007612	0.16636648093380235	0.44078044329847055	0.2310463520925069
2009	0.08126565886341053	0.3483537067937146	0.18697102146716404	0.04627975979648313	0.34148295171283094	0.54101897935077	0.16182688376985488	0.07817223187012556	0.12737366665656658	0.3445842571447215	0.06924341040951187
2010	0.07214729854928792	0.286910838539687	0.1463002024882869	0.03411286340856923	0.3130340655243178	0.5178021644038513	0.16080563719185703	0.07022745863444024	0.1177317553624575	0.3874948358786674	0.19024885095384403
2011	0.08965030211189762	0.2559356465843634	0.14763818368169157	0.027175184749654413	0.9999999999999999	0.536585889507182	0.16183290718728527	0.09160444073033813	0.09695373423801934	0.27874356944890377	0.08223090462179639
2012	0.08708976218387854	0.219434479269763	0.1260642205693724	0.03616181971928567	0.3507057818658542	0.5378729970087543	0.16379556950764018	0.1351192022569483	0.11654564363267772	0.23497982572980136	0.07697052143586258
2013	0.08542331928896674	0.2885081091699627	0.1700370452915001	0.02842428522440743	0.30483785311336375	0.5587670146412487	0.20926075811291944	0.17004998168142227	0.1408275588234511	0.30312032158457725	0.045562132260974386
2014	0.08973871490163421	0.2450559719016726	0.13508493520358666	0.024952789965603128	0.22854898498502574	0.4955283853128002	0.12945999014997467	0.11232589615805788	0.13225656907429095	0.24746520050454235	0.037953344253783605
2015	0.10984352197741809	0.31100925159543014	0.19109351602792835	0.05261499289177507	1.0	0.5226731149345845	0.17667673714899446	0.21783432561669824	0.17814863719778107	0.30828643767330466	0.05714479702392672
2016	0.1026529727905734	0.21981403913784747	0.1332528260273177	0.03103214125544762	0.26832375337707604	0.5580265626680976	0.13369132802758854	0.06727358602670852	0.11671735619487	0.26371758728096084	0.08008558345335015
2017	0.062397583323451244	0.22369237046542356	0.12766583637626272	0.028284666327841546	0.3134843289128707	0.6027568994115435	0.10724245290833967	0.09535544280934538	0.1014254021915939	0.22169074544651046	0.029166803129207386
2018	0.0709315280589582	0.21141950655773545	0.12300826725359815	0.036776043738083075	0.2580974645328805	0.6186887490733479	0.11599881366267817	0.18475737232221456	0.09945356376740822	0.20456881194545096	0.04222571949948095
2019	0.10072317734340641	0.2572441088968652	0.15991894450932742	0.057397872069974376	0.9999999999999999	0.5347644213043443	0.10990187876509483	0.07623472201788684	0.1109707685652378	0.22849280877473477	0.06324694623651739
2020	0.11947677255636013	0.29002823868926875	0.1892762696482574	0.07912717686269533	0.2684652338324308	0.5492577518133596	0.14527647051751968	0.03463343813324782	0.12475274408434467	0.2794664643469664	0.07656031090553927
2021	0.15765911442958425	0.2746604671323334	0.19706980047913325	0.12056414545066296	1.0	0.5510012811788694	0.1371833372545177	0.09864140866666071	0.12345988573973465	0.2613783241822738	0.11967391425306217
2022	0.17972163853499656	0.36341634774601406	0.24858467446728427	0.12132340550837684	0.2492418449351298	0.5847336309586397	0.1826901160231359	0.07300502075330151	0.13408670508661857	0.3347446838294176	0.18382155531577993
