year	in_strength	out_strength	total_strength	eigenvector	in_closeness	out_closeness	clustering coefficient	betweenness	pagerank	hubs	authorities
1995	0.24652749664055396	0.39716298644428116	0.2668420659797509	0.038111431598782386	0.13831962983309487	0.4632748487086058	0.44013456357297187	0.2673763695423719	0.20180922469432006	0.33954856249928367	0.5621815172453766
1996	0.3092647453712244	0.3885157777315189	0.3361319997158734	0.17145637127151836	0.11795453445455295	0.5502263454399716	0.5256934553900267	0.19115606904783222	0.18162172713286495	0.625585019382773	0.6174884027927589
1997	0.3430713382786079	0.3793653567621732	0.3215507595292991	0.12601546317328038	0.1356072232846246	0.5291903267162658	0.6461328444622377	0.18913155921663305	0.14665547019520797	0.497414917850857	0.6615469561535747
1998	0.31254935862221656	0.4061872548320471	0.272174176521051	0.12882560789777242	0.19715918057457538	0.5825770242067618	0.6320176178668113	0.18017024239254875	0.2229558626564213	0.4976068692916946	0.6107515130839261
1999	0.32442103195573446	0.4258943779612633	0.2824103347938678	0.11754372480178299	0.12242141706286847	0.5071796176731743	0.5630042171839427	0.26615361214476163	0.19212310458678583	0.3848812016152503	0.6269584836426882
2000	0.2689881414598332	0.2919198157452051	0.2666410811410004	0.13420887606584253	0.16374337501796643	0.5449683401129676	0.5273567131333401	0.09744143788305859	0.23902748348041425	0.16710133507474878	0.4876103297878156
2001	0.3546566847677196	0.5832491229738612	0.3767429757117825	0.09044436271708034	0.18611070894165394	0.5406178885710835	0.6667637849854353	0.12973064647946964	0.26719705638131863	0.7503348938903723	0.7514294520437996
2002	0.40647088574958	0.6170361662270067	0.4619845927995898	0.06313744319726855	0.1638308198479126	0.6230337696210168	0.6563511646140872	0.17263236614386657	0.16159295825588227	0.7285781178103307	0.7000888239941886
2003	0.4446949097112063	0.589609082733484	0.4535762095646314	0.20262006247837283	0.18610303592381416	0.6869269205012757	0.5102625420986397	0.14837459755110893	0.21598563894177536	0.7157447540210118	0.7506998788553845
2004	0.5297225757355036	0.7249298892326186	0.5724291632889448	0.196848029543907	1.0	0.6266528648975577	0.5797404732823744	0.11424141747400518	0.2281665058249357	0.7348458289238633	0.7542443664827797
2005	0.5210761344092842	0.6591179389040733	0.5470886181177381	0.18774011014001546	0.1650977695107968	0.5762716875405414	0.604871965670233	0.11561958007122652	0.2613160963271619	0.7148459847857871	0.7404740643289052
2006	0.40025202304766316	0.6967665604496756	0.44099633180938524	0.2585120026783223	0.20197144776292653	0.5693794637051434	0.5066558309091704	0.062226074766123296	0.27103082875168427	0.5785333532964733	0.7446566063955246
2007	0.2963327598299018	0.5141946915114991	0.3595246487145318	0.323308624365617	1.0	0.5469388694153601	0.5602243987095379	0.10075751793844123	0.23031931325969512	0.5044880695991427	0.6781729355418323
2008	0.3447322690343262	0.589732902099121	0.4122200307696079	0.06196155025469807	0.20387693163839216	0.6310089288607532	0.4846425106515062	0.190035603566718	0.23062629215748565	0.34216164355452383	0.5968806727307153
2009	0.4792050871320338	0.7340107906876544	0.5737700805597317	0.04735486401658329	1.0	0.5887669532996436	0.5582511063265032	0.3178512765171213	0.24747024313272326	0.736777935513379	0.7547672402630617
2010	0.31397640975708896	0.5553654228742042	0.38169986260618827	0.06801531605438593	0.17647337881585867	0.5796582514146934	0.47107635295560335	0.11386168389979379	0.16991126872568307	0.5824751561366672	0.4540500533807468
2011	0.4433663675293168	0.6184404806502575	0.4676448236290073	0.1270117524507507	0.9999999999999999	0.5351393647168892	0.5730331260397669	0.10039084839172108	0.24626567529328214	0.6395546508275622	0.7303464886695707
2012	0.3281396696493921	0.5202649121028433	0.3459777066752071	0.08760439075685655	1.0	0.46369633848389247	0.5233781793942673	0.06873455033708464	0.2399012471837586	0.46015193037427704	0.6027217974716725
2013	0.41998092142489973	0.5365349056391269	0.4265973843468984	0.22880082742982433	1.0	0.531398361809366	0.46198277774858	0.12992780347249222	0.2049176502115274	0.6267356962116508	0.7319040240368695
2014	0.22498948364572013	0.4563154813984833	0.2995989347775416	0.127565015008276	1.0	0.39642908032641966	0.4613163452348801	0.15419263151388463	0.18609435980140465	0.44584920398563654	0.3285615594604109
2015	0.30912849967800615	0.4754077838692393	0.37817084280682645	0.10598846683283836	1.0	0.5089744920831916	0.47192558358644177	0.21500533596711202	0.26732509415881955	0.4485557996413907	0.43194505109084047
2016	0.33973779104770396	0.4787867303658566	0.3677845923415013	0.2281164560391985	1.0	0.5750306670405336	0.5798956786767454	0.08712764906803327	0.2413760152506499	0.48735771110507253	0.5913502760881498
2017	0.34994811095690925	0.6295695470172404	0.43148270647173037	0.21510913910773188	1.0	0.5964917385676414	0.5357549047025535	0.09288616105381109	0.22167611138451093	0.6061566805694483	0.730058797998004
2018	0.5779115088186921	0.6905159068874536	0.5885789998596784	0.27837240591242474	1.0	0.5572333811898911	0.5672788117018167	0.06581201035883899	0.2635828770837869	0.6820486882136094	0.7051247254002871
2019	0.38480971297362276	0.6679563445258568	0.47687046430185	0.14759414500760093	0.9999999999999999	0.5644733439524321	0.5725162003078188	0.08251594362240922	0.2099803216720394	0.7502610328968106	0.7146021506596764
2020	0.3585760029203491	0.581230234169064	0.46116940162261333	0.058453758172224535	1.0	0.6077404990303223	0.5075284961897935	0.10602134541639563	0.29852885610381386	0.6577829463490064	0.5933032565722617
2021	0.44380420968941936	0.615678180868904	0.4854418940806403	0.2922057087760136	1.0	0.5582723815194056	0.575434346584976	0.09432609796862956	0.2444948253957514	0.6857599416356841	0.7569973407542034
2022	0.2876231435528148	0.5905051598572035	0.4025067385922977	0.09290560686228166	1.0	0.5114004350734862	0.5069891227031572	0.05649049868159339	0.29707000547829787	0.4493559564213425	0.452400623177142
