year	in_strength	out_strength	total_strength	eigenvector	in_closeness	out_closeness	clustering coefficient	betweenness	pagerank	hubs	authorities
1995	0.402840201942258	0.5207059909154909	0.4895219657142321	0.28005530191102435	0.2190396814783735	0.535153166981985	0.48356336879374506	0.11182444115295409	0.3257769128098382	0.553939587214612	0.606969334719444
1996	0.3865911631917167	0.5237647228929063	0.45302498579308237	0.1857833845019694	0.1864025132641267	0.5743703526592694	0.4609426695141924	0.09347309914256607	0.3572897498635502	0.6115533501531023	0.5881834326528984
1997	0.35314250104187084	0.4944166298444963	0.45764411084573253	0.10174791451891252	0.19410867214044636	0.4397352150115026	0.5382953250134953	0.14413001927497282	0.3281098515837507	0.6238781682971217	0.5537552387156731
1998	0.27772183746082013	0.5560535150682958	0.45405689057323373	0.22452448533738067	0.10552053636064085	0.5332571960655277	0.6677470399291969	0.17934170454501708	0.2764034137491449	0.6847986642990604	0.4785887844173192
1999	0.3544172432088374	0.4396339120906628	0.36991541831033437	0.10351680075127256	0.1483438244405212	0.6541859721446874	0.6909639641398617	0.19846742218350355	0.3332333474215038	0.5936756443871747	0.6292349220290683
2000	0.41188838078345813	0.5803166286058428	0.46894352245378934	0.39505909379797377	0.15686047985724993	1.0	0.7358337513404765	0.09758343973915518	0.24435319244589104	0.52218718673842	0.7358005344985366
2001	0.3535105302771243	0.5303467163405684	0.4560717193819893	0.10414787052078878	1.0	0.647455097147801	0.6690460804368729	0.09396401131776444	0.2878747176198969	0.28616661387233977	0.4662011565409315
2002	0.40019227688717274	0.5482103551318613	0.45041319528937085	0.2707280384358184	1.0	0.5785974483107035	0.5791639347108954	0.1268043860746182	0.3518261187194974	0.687397553634228	0.7215580680998996
2003	0.45866797553377703	0.5991344111818631	0.5517844020694165	0.09314822506835319	0.211792833668058	0.6243462354455509	0.6362259081135399	0.09321175947589322	0.20621977080893805	0.5843143068349914	0.7801452250599211
2004	0.39874282703156294	0.6380484224316909	0.5266811311722259	0.04412659518444284	0.2502610928266029	0.6158713110489802	0.5265648974629624	0.11581984695634617	0.24297638506786967	0.7539006271236485	0.627395153201885
2005	0.33103980151731227	0.6843812624888074	0.5566857202143756	0.09431927705932441	1.0	0.6076785488040322	0.5875631281148582	0.07009364096268045	0.37168407672699555	0.7557159636222237	0.5933012599041847
2006	0.3836272028726462	0.43947745497152024	0.4193008948019351	0.10508092345424302	1.0	0.5534478511829142	0.5227619822238383	0.20717970286046428	0.33564941028795736	0.51575704905209	0.5911694687192128
2007	0.2978468453498152	0.6267326070492443	0.44979493447053065	0.11411087144941101	0.2274644993940983	0.6330893677334524	0.5961426106854997	0.06926412443303931	0.4250295349437002	0.663467918299633	0.6308280250286487
2008	0.39313268256089795	0.3842209346628581	0.4093850722660335	0.10448883900498329	1.0	0.4839947975022184	0.553543612816249	0.11093935316723091	0.3415060339899185	0.3791956006377829	0.6064543347730367
2009	0.4435791471874486	0.5359280420324529	0.4833590006278995	0.16249762160764447	1.0	0.5878132762368415	0.561697245621744	0.07704741323082309	0.2630805596601785	0.39611239202963355	0.7630422306013145
2010	0.33780128670310217	0.7052274724890757	0.5495917029349544	0.22624025221620947	1.0	0.588785899034847	0.6000886305652178	0.10318904929701722	0.2598200442084079	0.6751455946577432	0.7532153832444464
2011	0.4221466205809561	0.5593488500150726	0.4786910438466466	0.3379828087135579	1.0	0.6175671020214795	0.513387289562931	0.08846205195135648	0.23678437977557998	0.719021098581804	0.7491730089179107
2012	0.34363539667810905	0.5068144194859477	0.4520044570717032	0.12615713995080258	1.0	1.0	0.5781766252157035	0.12356259822450077	0.2935824590264018	0.5139061050591238	0.685776622291167
2013	0.4321492423100842	0.5385911905327628	0.49052101045413066	0.26616829705606126	1.0	0.5900014286210006	0.547565615634011	0.056793668626428095	0.30072435616720383	0.4850425764974834	0.6485128657289962
2014	0.2569508308027657	0.6850062891735977	0.5539235424227857	0.06302819062193188	1.0	1.0	0.5309215445996143	0.06063199449714063	0.299338464057895	0.7283802607751646	0.42512344078748787
2015	0.3741182433930095	0.5603151307307791	0.48645569103941577	0.16997527359039855	1.0	1.0	0.5924549894883993	0.45109780607047956	0.3265963380855402	0.659039163467726	0.6693580184495833
2016	0.3783228152900212	0.3892142374396709	0.40153683060925394	0.12126837957607872	1.0	0.5544129647876685	0.4997196738472196	0.06368003969377911	0.2684349782295403	0.44774261301792806	0.38858882238602266
2017	0.3763828011994719	0.5246549411439985	0.4607636743806076	0.07753456462766828	1.0	1.0	0.4963040486114375	0.15915627748701988	0.30843695749833	0.6075019972023625	0.5877611313046358
2018	0.31028613563512786	0.7380232312334032	0.548573510433207	0.14752760546831123	1.0	1.0	0.5682361245606766	0.11766535832468783	0.27952227307080735	0.4785182093332868	0.7441049584999522
2019	0.27817077638701837	0.49123777918052514	0.36213299670463517	0.10775524553365601	1.0	0.43962984636681257	0.5572141018234209	0.08926802120396038	0.3346617787574764	0.4338001684966638	0.4888829890871662
2020	0.3561003981287154	0.5911495474833275	0.49907530671018907	0.12750276208768307	1.0	1.0	0.5022985076887385	0.0769141167428522	0.3595167844135071	0.6980034275512328	0.5480168330962387
2021	0.30137001270183505	0.4694018464873	0.364070205606696	0.13436140230949312	1.0	0.5929628504779967	0.6304586961173144	0.09408401808809297	0.35591214709917407	0.5797268455561844	0.6238011181543108
2022	0.35580305779760224	0.6819141086270111	0.4903871608520797	0.2961850811906154	1.0	0.5005557982818508	0.5085723820793815	0.1345122999560634	0.3119788312146161	0.709478658728115	0.717713080956243
